date,campaign_name,channel,spend,impressions,clicks,conversions,revenue
2023-01-01,Winter Sale,Facebook,1200,45000,1800,120,3600
2023-01-01,Winter Sale,Google,1500,38000,2200,150,4500
2023-01-01,Winter Sale,Instagram,800,30000,1200,80,2400
2023-01-08,Winter Sale,Facebook,1300,48000,1900,130,3900
2023-01-08,Winter Sale,Google,1600,40000,2300,160,4800
2023-01-08,Winter Sale,Instagram,850,32000,1300,85,2550
2023-01-15,Winter Sale,Facebook,1250,46000,1850,125,3750
2023-01-15,Winter Sale,Google,1550,39000,2250,155,4650
2023-01-15,Winter Sale,Instagram,825,31000,1250,83,2490
2023-01-22,Winter Sale,Facebook,1350,49000,1950,135,4050
2023-01-22,Winter Sale,Google,1650,41000,2350,165,4950
2023-01-22,Winter Sale,Instagram,875,33000,1350,88,2640
2023-02-01,Valentine's Day,Facebook,1500,55000,2200,180,5400
2023-02-01,Valentine's Day,Google,1800,48000,2600,210,6300
2023-02-01,Valentine's Day,Instagram,1000,40000,1600,130,3900
2023-02-08,Valentine's Day,Facebook,1600,58000,2300,190,5700
2023-02-08,Valentine's Day,Google,1900,50000,2700,220,6600
2023-02-08,Valentine's Day,Instagram,1050,42000,1650,135,4050
2023-02-15,Valentine's Day,Facebook,1700,60000,2400,200,6000
2023-02-15,Valentine's Day,Google,2000,52000,2800,230,6900
2023-02-15,Valentine's Day,Instagram,1100,44000,1700,140,4200
2023-03-01,Spring Collection,Facebook,1400,52000,2100,170,5100
2023-03-01,Spring Collection,Google,1700,45000,2500,200,6000
2023-03-01,Spring Collection,Instagram,950,38000,1550,125,3750
2023-03-08,Spring Collection,Facebook,1450,54000,2150,175,5250
2023-03-08,Spring Collection,Google,1750,46000,2550,205,6150
2023-03-08,Spring Collection,Instagram,975,39000,1575,128,3840
2023-03-15,Spring Collection,Facebook,1500,56000,2200,180,5400
2023-03-15,Spring Collection,Google,1800,47000,2600,210,6300
2023-03-15,Spring Collection,Instagram,1000,40000,1600,130,3900
2023-03-22,Spring Collection,Facebook,1550,57000,2250,185,5550
2023-03-22,Spring Collection,Google,1850,48000,2650,215,6450
2023-03-22,Spring Collection,Instagram,1025,41000,1625,133,3990